ORF,"L, 0min #1","L, 0min #2","L, 2min #1","L ,2min #2","L, 5min #1","L, 5min #2","L, 10min #1","L, 10min #2","L, 20min #1","L, 20min #2"
NP_040580.1,0,0,0,0,5,12,52,36,232,182
NP_040581.1,1,0,2,1,1,3,39,48,181,131
NP_040582.1,4,0,0,16,252,318,1992,2807,10127,6890
NP_040583.1,2,1,1,4,4,19,211,402,1688,1453
NP_040584.1,1,2,2,23,82,114,1681,2757,13637,9417
NP_040585.1,0,4,3,26,79,137,2179,3269,20848,13034
NP_040586.1,0,7,9,119,335,446,5314,9967,61938,49536
NP_040587.1,1,3,1,82,110,118,2651,5127,43641,34985
NP_040588.1,6,5,10,82,145,225,3582,6500,32822,25945
NP_040589.1,0,0,3,3,8,4,186,353,2093,1603
NP_040590.1,3,2,5,10,5,16,273,494,2303,1793
NP_040591.1,4,6,3,57,110,99,2542,5584,30107,24077
NP_040592.1,3,6,7,55,63,48,1817,3493,26995,21062
NP_040593.1,11,0,5,54,47,74,2434,3997,35904,26453
NP_040594.1,5,0,7,23,6,27,722,1377,9854,8831
NP_040595.1,1,1,2,3,4,4,63,111,914,805
NP_040596.1,0,7,0,7,9,2,70,144,987,940
NP_040597.1,3,5,4,16,4,5,184,323,3398,2992
NP_040598.1,0,2,5,9,7,0,206,363,3676,3175
NP_040599.1,3,3,9,8,4,4,202,401,3649,3381
NP_040600.1,0,1,2,6,2,1,88,121,2110,1901
NP_040601.1,55,26,96,168,132,149,1458,2344,29225,28277
NP_040602.1,1,2,2,13,0,1,75,138,4205,3239
NP_040603.1,0,0,0,0,0,0,0,0,0,2
NP_040604.1,0,1,0,0,1,0,7,7,224,117
NP_040605.1,9,6,5,23,10,6,297,484,10238,8311
NP_040606.1,31,30,30,28,24,14,60,66,299,254
NP_040607.1,11,10,6,4,0,6,14,11,102,150
NP_040608.1,119,93,73,34,62,30,153,143,684,657
NP_040609.1,4,6,72,48,5379,4948,5202,4184,2281,2160
NP_040610.1,17,15,464,269,40892,38780,42731,35820,19609,18038
NP_597778.1,18,13,385,195,32396,30083,38001,29764,15452,12061
NP_040611.1,308,166,309,285,13277,13175,21715,13767,5456,4758
NP_040612.1,7,8,49,62,4795,5943,4988,4135,1772,1770
NP_040613.1,4,6,72,30,5795,8232,4973,4917,3209,3448
NP_040614.1,4,6,80,71,10558,11206,10491,8730,4055,3961
NP_040615.1,8,6,67,136,7393,11441,7988,8927,3964,4035
NP_040616.1,1,0,6,8,1059,1478,799,977,667,734
NP_040617.1,8,6,159,193,13659,17147,10987,12259,4941,4923
NP_040618.1,18,13,881,855,49924,44922,39295,39577,14938,13657
NP_040619.1,11,0,349,432,14068,16083,13117,13034,4298,4600
NP_040620.1,28,13,1058,1228,41775,45640,38927,42350,11204,10977
NP_040621.1,39,33,2651,2022,102628,80920,92555,74951,32739,26048
NP_040622.1,4,5,792,901,2211,3022,1822,3132,639,1333
NP_040623.1,9,13,1180,1119,2886,3054,2273,3511,1080,1176
NP_597779.1,3,8,2,2,0,1,36,34,158,143
NP_040625.1,49,49,9103,9196,20168,20285,13596,13772,5234,5321
NP_040626.1,387,331,585,435,156,170,782,755,1585,1397
NP_040627.1,603,470,560,419,42,34,73,77,62,64
NP_040628.1,281,254,201,166,26,28,34,24,50,24
NP_040629.1,76,54,5322,5103,9791,10849,23089,24450,17997,11708
NP_040630.1,18,4,1027,886,10398,9205,18323,18811,7434,4485
NP_040631.1,9,6,433,384,6386,5646,13165,12307,4617,3529
NP_040632.1,3,3,148,155,2496,3106,5954,7207,3167,3204
NP_040633.1,3,8,201,237,4475,4550,10058,12274,7284,7329
NP_040634.1,5,15,242,213,9706,8395,20660,23783,17425,18190
NP_040635.1,2,4,48,38,1789,1781,4512,4681,4648,5049
NP_040636.1,0,6,18,46,1354,1943,4198,4195,3187,4122
NP_040637.1,0,0,39,25,1842,2148,4569,4979,3587,5735
NP_040638.1,0,0,30,46,891,1181,3041,3115,2034,2498
NP_040639.1,1,0,13,22,885,1308,2596,2926,2502,3195
NP_040640.1,7,5,114,120,4921,4193,14529,14398,14077,13224
NP_040641.1,3,7,62,82,2673,3426,8789,9234,8306,10344
NP_040642.1,4,5,97,107,3676,4500,13389,14640,10532,12609
NP_040643.1,4,0,0,12,14,33,86,113,249,70
NP_040644.1,5,0,10,3,91,116,623,780,2041,1699
YP_001551775.1,5,0,10,4,93,118,629,795,2069,1728
NP_040645.1,2,2,11,24,523,709,3166,4365,12146,9361
NP_040646.1,0,5,16,17,229,249,1907,3621,5053,7030
YP_001551744.1,0,0,0,0,0,4,23,42,137,75
NP_597780.1,163,178,534,682,403,360,1061,1487,2467,4069
NP_597781.1,0,0,2,2,0,1,4,8,18,6
NP_597782.1,0,0,5,16,41,21,157,115,341,377
